DateComtd,DayComtd,TimeComtd,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification
2013-01-01,Tuesday,4:20 AM,STATION8_TALAMBAN,Talamban,Mi§oza Street,600144.17,1146259.75,INDEX CRIME,Crime Against Property,THEFT,Bags/Wallets/Purse
2013-01-01,Tuesday,3:00 AM,STATION11_MAMBALING,Basak San Nicolas,LEMON ST,594956.84,1137623.93,INDEX CRIME,Crime Against Property,THEFT,Clothing/Dry Goods
2013-01-01,Tuesday,5:45 PM,STATION1_PARIAN,Kamagayan,PELAEZ ST. BRGY KAMAGAYAN C.C.,598343.75,1138649.29,INDEX CRIME,Crime Against Property,THEFT,Others - Theft
2013-01-01,Tuesday,5:00 AM,STATION1_PARIAN,Pari-an,Jakosalem St. C.C.,598602.40,1138969.51,INDEX CRIME,Crime Against Property,THEFT,Jewelry/Watch/Accessories
2013-01-01,Tuesday,11:59 PM,STATION10_PUNTA,Punta Princesa,346 SAMBAG ST,595557.45,1137978.09,INDEX CRIME,Crime Against Property,THEFT,Cellphone/Camera/Gadgets
2013-01-01,Tuesday,7:30 PM,STATION3_WATERFRONT,Tinago,Arellano Blvd.,599576.60,1138495.99,INDEX CRIME,Crime Against Property,THEFT,Bags/Wallets/Purse
2013-01-02,Wednesday,11:00 AM,STATION8_TALAMBAN,Talamban,Cabangcalan,600278.32,1145358.60,INDEX CRIME,Crime Against Property,THEFT,Cellphone/Camera/Gadgets
2013-01-02,Wednesday,8:00 AM,STATION9_GUADALUPE,Guadalupe,M VELEZ ST GUADALUPE CEBU CITY,597057.10,1140691.19,INDEX CRIME,Crime Against Property,THEFT,Cellphone/Camera/Gadgets
2013-01-02,Wednesday,2:00 AM,STATION8_TALAMBAN,Talamban,Tintay,601200.95,1146596.57,INDEX CRIME,Crime Against Property,THEFT,CarPartsAccessories
2013-01-02,Wednesday,9:00 AM,STATION4_MABOLO,Banilad,#47 Paseo John St. Maria Luisa Park Banilad Cebu City,600008.82,1144302.79,INDEX CRIME,Crime Against Property,THEFT,Qualified Theft
2013-01-02,Wednesday,8:00 AM,STATION1_PARIAN,T. Padilla,T.PADILLA ST.CC,599016.16,1138895.97,INDEX CRIME,Crime Against Property,THEFT,Others - Theft
2013-01-02,Wednesday,3:00 AM,STATION3_WATERFRONT,Santo Nino,MC Briones St.,598755.74,1137942.71,INDEX CRIME,Crime Against Property,THEFT,Bags/Wallets/Purse
2013-01-02,Wednesday,3:45 PM,STATION3_WATERFRONT,San Roque,Colon St. cor Mabini St.,598946.80,1138517.55,INDEX CRIME,Crime Against Property,THEFT,Cellphone/Camera/Gadgets
2013-01-02,Wednesday,4:30 PM,STATION3_WATERFRONT,Santo Nino,Manalili St.,598444.86,1138193.97,INDEX CRIME,Crime Against Property,THEFT,Cellphone/Camera/Gadgets
2013-01-02,Wednesday,4:30 PM,STATION3_WATERFRONT,Santo Nino,Borromeo St.,598421.61,1138105.19,INDEX CRIME,Crime Against Property,THEFT,Jewelry/Watch/Accessories
2013-01-03,Thursday,4:00 AM,STATION7_PARDO,Basak Pardo,SITIO LAGUNA BASAK PARDO CC,593985.25,1137149.71,INDEX CRIME,Crime Against Property,THEFT,Petnapping 
2013-01-03,Thursday,1:52 AM,STATION11_MAMBALING,Mambaling,SRP Road Cebu City,596042.19,1137738.95,INDEX CRIME,Crime Against Property,THEFT,Gas Tank
