DateComtd,DayComtd,TimeComtd,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification
2013-01-01,Tuesday,11:15 AM,STATION5_CARBON,Ermita,Calderon Street,598325.72,1137941.50,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-01,Tuesday,4:30 AM,STATION10_PUNTA,Punta Princesa,SITIO MANGGA,594155.65,1138452.90,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-01,Tuesday,1:30 AM,STATION4_MABOLO,Lahug,Sitio Maracas Lahug Cebu City,598282.84,1142339.47,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal
2013-01-01,Tuesday,5:45 PM,STATION11_MAMBALING,Duljo Fatima,SITIO BARBAC,596441.04,1137968.84,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-01,Tuesday,5:30 PM,STATION4_MABOLO,Mabolo,J. Luna Ave near Mabolo Cebu City,600072.10,1140250.61,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-01,Tuesday,8:30 PM,STATION4_MABOLO,Kasambagan,Saint Michael Riverside Kasambagan Cebu City,600086.45,1142800.92,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal
2013-01-01,Tuesday,2:00 AM,STATION8_TALAMBAN,Bacayan,Great plains Subdivision,600828.80,1148145.26,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief
2013-01-01,Tuesday,8:00 AM,STATION1_PARIAN,T. Padilla,T PADILLA ST,599016.16,1138895.97,NON-INDEX CRIME,,OTHERNONINDEX,Illegal Detention
2013-01-01,Tuesday,3:00 PM,STATION1_PARIAN,Zapatera,ECHAVES ST.C.C.,598890.81,1139640.66,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief
2013-01-01,Tuesday,1:50 AM,STATION6_PASIL,Calamba,V.RAMA AVE. INFRONT OF SHELL GAS STATION CEBU CITY,597071.07,1138721.16,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-01,Tuesday,3:20 AM,STATION4_MABOLO,Carreta (Station 4),GEN MAXILOM ST 9INFRONT BRGY CARRETA HALL),599357.76,1139758.00,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-01,Tuesday,12:00 PM,STATION2_FUENTE,Sambag II,VISITACION ST.,597552.86,1139340.65,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-03,Thursday,8:00 AM,STATION9_GUADALUPE,Kalunasan,LOWER KALUNASAN CEBU CITY,596149.15,1142641.71,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief
2013-01-03,Thursday,5:11 PM,STATION2_FUENTE,Capitol Site,UNIT-9-10 GALLERIA FUENT E GEN MAXILOM AVE CEBU CITY,597916.27,1139833.36,NON-INDEX CRIME,,OTHERNONINDEX,Estafa
2013-01-03,Thursday,7:00 AM,STATION3_WATERFRONT,Santo Nino,Colon St.,598890.54,1138470.70,NON-INDEX CRIME,,OTHERNONINDEX,Estafa
2013-01-04,Friday,9:45 AM,STATION10_PUNTA,Tisa,NEAR ARBES BAKESHOP,595206.87,1139011.37,NON-INDEX CRIME,,OTHERNONINDEX,Swindling
2013-01-04,Friday,1:00 PM,STATION11_MAMBALING,Duljo Fatima,415 H R PADILLA,596135.68,1137921.31,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-04,Friday,12:00 PM,STATION4_MABOLO,Kasambagan,F. Cabahug St. Kasambagan Cebu City,599731.60,1141003.66,NON-INDEX CRIME,,OTHERNONINDEX,Estafa
2013-01-05,Saturday,10:00 PM,STATION9_GUADALUPE,Guadalupe,J LABRA GUADALUPE CEBU CITY,596264.99,1142169.32,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief
2013-01-05,Saturday,11:20 PM,STATION2_FUENTE,Capitol Site,MARIA CRISTINA ST CAPITOL SITE,597550.62,1141187.76,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-06,Sunday,12:00 AM,STATION1_PARIAN,Pari-an,Sikatuna St. C. C.,598760.84,1139066.00,NON-INDEX CRIME,,OTHERNONINDEX,Alarm & Scandal
2013-01-06,Sunday,12:50 AM,STATION4_MABOLO,Lahug,NEAR INFINITY KTV BAR ARCHBISHOP REYES AVE.,598684.25,1140803.42,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-06,Sunday,7:20 AM,STATION3_WATERFRONT,San Roque,S OSMEÑA/PALMA ST,599273.31,1138568.58,NON-INDEX CRIME,,OTHERNONINDEX,Slight Physical Injuries
2013-01-07,Monday,12:30 AM,STATION11_MAMBALING,Basak San Nicolas,ALUMNOS,595840.93,1137434.89,NON-INDEX CRIME,,OTHERNONINDEX,Estafa
2013-01-07,Monday,8:00 AM,STATION9_GUADALUPE,Guadalupe,MA THERESA VILLAGE GUADALUPE CEBU CITY,596360.30,1142222.98,NON-INDEX CRIME,,OTHERNONINDEX,Estafa
2013-01-07,Monday,8:00 AM,STATION9_GUADALUPE,Guadalupe,ENGLIS V RAMA GUADALUPE CEBU CITY,596739.97,1141001.22,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief
2013-01-07,Monday,3:00 PM,STATION1_PARIAN,Pari-an,Colon ST.C.C.,598669.61,1138460.77,NON-INDEX CRIME,,OTHERNONINDEX,Estafa
